follow_up_id,request_id,owner_user_id,due_at,completed_at,follow_up_status
83,1000170,182,2026-01-13 09:35:00,,Overdue
84,1000172,6,2025-05-25 08:14:00,,Open
85,1000175,163,2025-01-30 15:47:00,2025-01-29 15:47:00,Completed
86,1000177,8,2026-05-19 16:09:00,,Overdue
87,1000179,245,2025-04-17 15:43:00,,Overdue
88,1000181,151,2025-06-20 15:44:00,2025-06-24 15:44:00,Completed
89,1000182,156,2025-09-01 09:23:00,2025-09-02 09:23:00,Completed
90,1000183,107,2025-08-23 11:38:00,2025-08-27 11:38:00,Completed
91,1000186,137,2026-06-14 13:00:00,2026-06-17 13:00:00,Completed
92,1000188,103,2025-05-03 14:39:00,2025-05-05 14:39:00,Completed
93,1000189,108,2026-06-30 16:54:00,2026-07-02 16:54:00,Completed
94,1000190,128,2025-09-04 11:11:00,2025-09-03 11:11:00,Completed
95,1000194,44,2024-11-11 12:20:00,,Open
96,1000195,182,2025-04-06 13:22:00,2025-04-05 13:22:00,Completed
97,1000196,219,2025-01-16 15:25:00,2025-01-19 15:25:00,Completed
98,1000198,252,2024-11-30 10:13:00,2024-12-01 10:13:00,Completed
99,1000204,142,2024-11-28 15:10:00,2024-11-27 15:10:00,Completed
100,1000205,268,2025-07-11 08:55:00,,Open
101,1000209,174,2026-01-20 13:39:00,,Open
102,1000216,95,2026-04-18 12:04:00,2026-04-22 12:04:00,Completed
103,1000222,137,2026-04-20 11:53:00,2026-04-23 11:53:00,Completed
104,1000223,212,2025-01-29 15:15:00,2025-02-02 15:15:00,Completed
105,1000224,138,2026-05-30 15:32:00,2026-06-01 15:32:00,Completed
106,1000227,79,2025-11-07 08:12:00,2025-11-10 08:12:00,Completed
107,1000228,178,2024-10-13 09:17:00,2024-10-12 09:17:00,Completed
108,1000229,196,2026-05-09 08:50:00,,Overdue
109,1000230,220,2025-05-08 13:36:00,,Overdue
110,1000232,108,2025-10-21 09:14:00,,Overdue
111,1000234,40,2026-05-30 15:00:00,,Overdue
112,1000237,130,2026-01-31 11:27:00,2026-01-31 11:27:00,Completed
113,1000239,2,2025-01-16 08:51:00,,Open
114,1000241,27,2025-11-19 14:18:00,,Open
115,1000242,171,2024-10-25 12:14:00,2024-10-29 12:14:00,Completed
116,1000246,114,2025-06-08 16:16:00,,Open
117,1000250,139,2026-01-26 09:23:00,,Overdue
118,1000251,47,2025-06-02 08:32:00,,Open
119,1000261,49,2026-04-02 10:04:00,2026-04-02 10:04:00,Completed
120,1000265,252,2025-09-20 11:42:00,2025-09-20 11:42:00,Completed
121,1000266,124,2025-02-21 16:56:00,2025-02-21 16:56:00,Completed
122,1000267,80,2026-02-08 11:30:00,2026-02-07 11:30:00,Completed
123,1000268,28,2024-09-29 14:29:00,,Open
124,1000272,162,2026-01-10 13:04:00,2026-01-14 13:04:00,Completed
125,1000275,17,2025-09-18 09:21:00,2025-09-22 09:21:00,Completed
126,1000277,4,2025-05-02 16:06:00,2025-05-05 16:06:00,Completed
127,1000278,56,2025-09-20 16:40:00,2025-09-19 16:40:00,Completed
128,1000279,21,2025-05-13 15:05:00,,Open
129,1000280,80,2025-09-03 08:55:00,2025-09-07 08:55:00,Completed
130,1000282,150,2026-02-24 10:29:00,,Open
131,1000286,170,2025-05-14 13:08:00,,Overdue
132,1000287,26,2025-08-11 16:39:00,2025-08-11 16:39:00,Completed
133,1000288,15,2025-01-27 15:43:00,2025-01-31 15:43:00,Completed
134,1000290,215,2024-09-18 10:37:00,2024-09-17 10:37:00,Completed
135,1000291,136,2024-08-21 16:15:00,2024-08-21 16:15:00,Completed
136,1000294,186,2024-12-19 15:31:00,2024-12-23 15:31:00,Completed
137,1000296,119,2025-09-10 11:18:00,,Open
138,1000297,207,2025-03-27 14:10:00,2025-03-29 14:10:00,Completed
139,1000302,21,2026-04-25 14:43:00,,Open
140,1000303,239,2026-01-11 11:17:00,2026-01-11 11:17:00,Completed
141,1000304,12,2026-06-23 09:45:00,2026-06-26 09:45:00,Completed
142,1000305,29,2024-10-12 13:40:00,,Overdue
143,1000307,48,2025-10-19 15:01:00,2025-10-20 15:01:00,Completed
144,1000311,76,2025-06-04 11:18:00,,Open
145,1000312,97,2025-02-19 15:35:00,2025-02-19 15:35:00,Completed
146,1000314,14,2025-08-27 16:47:00,2025-08-27 16:47:00,Completed
147,1000315,63,2026-01-31 16:20:00,2026-01-30 16:20:00,Completed
148,1000316,18,2025-12-26 14:38:00,2025-12-27 14:38:00,Completed
149,1000319,184,2026-02-15 12:09:00,2026-02-19 12:09:00,Completed
150,1000320,117,2025-01-03 09:42:00,2025-01-05 09:42:00,Completed
151,1000321,38,2026-01-27 11:25:00,2026-01-27 11:25:00,Completed
152,1000322,239,2025-06-25 12:25:00,,Overdue
153,1000323,142,2025-08-31 12:51:00,2025-08-31 12:51:00,Completed
154,1000327,152,2025-07-13 14:11:00,,Overdue
155,1000328,121,2025-10-28 08:23:00,,Open
156,1000329,73,2025-06-05 12:08:00,,Overdue
157,1000330,66,2025-11-18 10:02:00,2025-11-19 10:02:00,Completed
158,1000332,171,2026-03-31 12:28:00,2026-04-04 12:28:00,Completed
159,1000336,177,2025-01-03 09:51:00,2025-01-02 09:51:00,Completed
160,1000337,141,2026-05-06 13:40:00,2026-05-08 13:40:00,Completed
161,1000339,73,2025-09-28 13:00:00,2025-09-29 13:00:00,Completed
162,1000340,29,2026-06-26 15:50:00,2026-06-28 15:50:00,Completed
163,1000343,58,2025-10-17 09:32:00,,Open
164,1000347,105,2024-11-01 11:31:00,2024-11-01 11:31:00,Completed
165,1000348,71,2025-08-14 14:01:00,2025-08-14 14:01:00,Completed
166,1000349,73,2025-02-15 13:36:00,2025-02-14 13:36:00,Completed
167,1000352,81,2024-12-11 08:55:00,2024-12-13 08:55:00,Completed
168,1000356,161,2026-02-20 16:08:00,,Open
169,1000358,207,2026-07-08 11:10:00,2026-07-07 11:10:00,Completed
170,1000359,58,2026-01-07 08:21:00,,Overdue
171,1000360,53,2026-03-07 16:08:00,2026-03-09 16:08:00,Completed
172,1000361,131,2024-08-23 12:32:00,,Overdue
173,1000362,153,2024-12-12 16:09:00,,Open
174,1000364,179,2025-12-09 09:32:00,,Overdue
175,1000366,176,2025-04-03 10:47:00,2025-04-06 10:47:00,Completed
176,1000367,245,2025-01-19 10:32:00,2025-01-18 10:32:00,Completed
177,1000370,122,2026-06-23 14:24:00,2026-06-25 14:24:00,Completed
178,1000379,81,2025-09-15 11:36:00,2025-09-18 11:36:00,Completed
179,1000380,171,2026-02-22 13:26:00,,Open
180,1000381,158,2025-04-02 13:03:00,2025-04-01 13:03:00,Completed
181,1000382,26,2025-04-22 10:18:00,2025-04-23 10:18:00,Completed
182,1000384,14,2024-10-24 10:52:00,2024-10-24 10:52:00,Completed
183,1000385,85,2025-04-01 09:56:00,2025-04-01 09:56:00,Completed
184,1000388,133,2025-08-12 16:55:00,2025-08-11 16:55:00,Completed
185,1000390,52,2026-04-01 15:14:00,,Open
186,1000391,99,2025-08-05 09:35:00,2025-08-05 09:35:00,Completed
187,1000392,45,2025-12-30 11:12:00,,Overdue
188,1000393,245,2024-12-06 15:43:00,2024-12-09 15:43:00,Completed
189,1000394,272,2025-04-08 09:24:00,,Open
190,1000395,136,2026-01-05 13:20:00,2026-01-06 13:20:00,Completed
191,1000396,110,2025-11-11 16:35:00,,Overdue
192,1000397,227,2024-09-24 10:14:00,2024-09-24 10:14:00,Completed
193,1000401,162,2026-01-15 15:45:00,2026-01-17 15:45:00,Completed
194,1000402,22,2024-09-12 15:34:00,,Overdue
195,1000408,59,2026-05-07 09:27:00,2026-05-06 09:27:00,Completed
196,1000409,111,2026-01-29 10:30:00,2026-01-29 10:30:00,Completed
197,1000410,36,2025-10-30 10:58:00,,Open
198,1000412,4,2024-11-18 09:21:00,2024-11-22 09:21:00,Completed
199,1000414,226,2025-11-09 09:12:00,,Open
200,1000415,136,2025-08-07 16:41:00,2025-08-07 16:41:00,Completed
201,1000418,164,2025-12-18 12:54:00,2025-12-19 12:54:00,Completed
202,1000419,264,2026-02-05 15:47:00,2026-02-07 15:47:00,Completed
203,1000421,70,2026-02-24 15:12:00,2026-02-24 15:12:00,Completed
204,1000422,203,2024-12-25 13:26:00,2024-12-25 13:26:00,Completed
205,1000424,203,2024-09-16 16:25:00,2024-09-15 16:25:00,Completed
206,1000426,196,2026-02-03 08:32:00,2026-02-05 08:32:00,Completed
207,1000427,143,2026-02-15 14:32:00,,Open
208,1000430,49,2025-10-19 11:29:00,2025-10-18 11:29:00,Completed
209,1000431,58,2025-03-16 12:26:00,,Overdue
210,1000433,67,2025-08-20 12:44:00,2025-08-21 12:44:00,Completed
211,1000434,132,2025-09-09 11:09:00,2025-09-09 11:09:00,Completed
212,1000436,4,2025-11-19 14:41:00,2025-11-19 14:41:00,Completed
213,1000440,136,2025-06-24 12:07:00,,Open
214,1000442,106,2026-05-18 12:32:00,2026-05-20 12:32:00,Completed
215,1000443,98,2025-08-20 13:30:00,2025-08-19 13:30:00,Completed
216,1000444,174,2025-06-04 13:26:00,2025-06-05 13:26:00,Completed
217,1000446,64,2026-02-13 13:02:00,2026-02-13 13:02:00,Completed
218,1000448,117,2025-08-12 12:21:00,2025-08-14 12:21:00,Completed
219,1000449,66,2025-12-23 10:27:00,,Overdue
220,1000452,42,2025-01-30 12:03:00,2025-01-31 12:03:00,Completed
221,1000453,159,2024-09-19 08:04:00,2024-09-19 08:04:00,Completed
222,1000454,21,2024-12-15 09:29:00,,Open
223,1000456,144,2025-11-27 10:21:00,2025-11-26 10:21:00,Completed
224,1000457,178,2026-02-05 15:40:00,,Open
225,1000458,6,2026-05-15 16:05:00,,Overdue
226,1000459,182,2025-01-21 10:23:00,2025-01-24 10:23:00,Completed
227,1000461,109,2025-04-13 10:55:00,2025-04-13 10:55:00,Completed
228,1000462,257,2024-12-18 09:03:00,2024-12-20 09:03:00,Completed
229,1000463,71,2024-11-19 09:05:00,2024-11-23 09:05:00,Completed
230,1000465,149,2026-06-05 15:25:00,2026-06-09 15:25:00,Completed
231,1000467,36,2026-03-10 13:54:00,,Open
232,1000472,102,2026-04-10 15:51:00,2026-04-09 15:51:00,Completed
233,1000473,124,2025-12-30 14:05:00,,Open
234,1000476,29,2026-05-09 11:40:00,,Open
235,1000478,264,2025-09-30 16:57:00,2025-10-02 16:57:00,Completed
236,1000482,36,2025-03-11 12:26:00,2025-03-13 12:26:00,Completed
237,1000484,104,2025-06-25 08:28:00,2025-06-27 08:28:00,Completed
238,1000485,126,2026-05-26 14:19:00,2026-05-30 14:19:00,Completed
239,1000486,34,2025-11-19 15:46:00,2025-11-21 15:46:00,Completed
240,1000487,105,2026-07-01 08:41:00,2026-07-01 08:41:00,Completed
241,1000491,113,2025-05-29 16:17:00,,Overdue
242,1000492,127,2026-05-13 09:08:00,2026-05-16 09:08:00,Completed
243,1000495,16,2024-08-25 10:58:00,,Overdue
244,1000499,182,2025-04-15 12:03:00,2025-04-15 12:03:00,Completed
245,1000500,51,2025-11-13 11:05:00,2025-11-17 11:05:00,Completed
246,1000503,20,2026-05-19 09:25:00,2026-05-18 09:25:00,Completed
247,1000506,51,2026-07-07 14:18:00,,Open
248,1000521,17,2025-03-03 14:38:00,2025-03-02 14:38:00,Completed
249,1000522,49,2025-02-10 12:36:00,2025-02-13 12:36:00,Completed
250,1000524,115,2025-08-11 08:03:00,,Overdue
251,1000525,114,2026-06-22 09:46:00,,Overdue
252,1000526,160,2025-11-08 14:25:00,,Overdue
253,1000528,152,2025-01-14 09:54:00,2025-01-13 09:54:00,Completed
254,1000530,83,2025-07-21 16:06:00,,Overdue
255,1000531,152,2025-08-30 10:00:00,2025-09-02 10:00:00,Completed
256,1000537,74,2025-10-10 08:11:00,,Open
257,1000541,248,2026-04-19 09:07:00,2026-04-18 09:07:00,Completed
258,1000544,51,2024-10-27 16:23:00,,Overdue
259,1000545,171,2025-06-06 13:38:00,2025-06-08 13:38:00,Completed
260,1000546,255,2025-10-04 12:53:00,,Overdue
261,1000550,94,2025-09-05 15:19:00,2025-09-04 15:19:00,Completed
262,1000553,62,2025-04-28 09:44:00,2025-04-29 09:44:00,Completed
263,1000555,101,2026-03-16 14:31:00,2026-03-15 14:31:00,Completed
264,1000561,143,2026-05-18 16:53:00,,Overdue
265,1000562,189,2025-06-20 09:50:00,2025-06-24 09:50:00,Completed
266,1000563,169,2025-09-09 10:15:00,,Overdue
267,1000564,57,2024-10-15 12:47:00,2024-10-17 12:47:00,Completed
268,1000566,265,2025-11-30 12:42:00,2025-11-30 12:42:00,Completed
269,1000567,193,2026-03-12 11:49:00,,Overdue
270,1000569,255,2025-01-10 10:10:00,,Open
271,1000571,176,2026-03-30 13:20:00,2026-04-02 13:20:00,Completed
272,1000573,92,2025-12-23 14:17:00,,Overdue
273,1000574,145,2026-06-18 12:42:00,,Overdue
274,1000575,214,2026-05-30 11:56:00,2026-05-29 11:56:00,Completed
275,1000582,137,2026-02-08 16:07:00,2026-02-11 16:07:00,Completed
276,1000591,147,2024-12-11 14:19:00,2024-12-12 14:19:00,Completed
277,1000593,16,2024-12-22 09:14:00,,Open
278,1000594,172,2026-06-08 12:27:00,2026-06-10 12:27:00,Completed
279,1000595,144,2026-02-13 14:02:00,,Overdue
280,1000600,249,2025-07-29 08:38:00,2025-07-30 08:38:00,Completed
281,1000601,132,2025-09-08 16:48:00,2025-09-12 16:48:00,Completed
282,1000602,177,2025-12-27 15:35:00,2025-12-27 15:35:00,Completed
283,1000603,134,2025-11-13 13:30:00,,Overdue
284,1000606,126,2025-07-02 10:06:00,2025-07-05 10:06:00,Completed
285,1000607,214,2026-06-29 09:20:00,2026-07-01 09:20:00,Completed
286,1000608,34,2025-07-31 10:33:00,2025-07-31 10:33:00,Completed
287,1000609,96,2025-07-30 08:54:00,2025-08-01 08:54:00,Completed
288,1000610,264,2025-11-13 14:04:00,2025-11-17 14:04:00,Completed
289,1000612,121,2025-05-25 10:14:00,2025-05-25 10:14:00,Completed
290,1000614,169,2024-10-16 13:50:00,2024-10-17 13:50:00,Completed
291,1000615,62,2025-07-09 16:18:00,2025-07-08 16:18:00,Completed
292,1000617,96,2025-10-18 11:13:00,,Open
293,1000618,157,2025-09-01 08:30:00,,Open
294,1000624,52,2026-01-23 16:18:00,,Overdue
295,1000627,6,2025-11-20 14:02:00,2025-11-20 14:02:00,Completed
296,1000628,77,2026-01-04 09:17:00,,Overdue
297,1000633,110,2025-10-14 13:19:00,2025-10-18 13:19:00,Completed
298,1000635,174,2025-06-08 09:09:00,2025-06-09 09:09:00,Completed
299,1000636,168,2026-01-30 08:54:00,2026-02-01 08:54:00,Completed
300,1000637,13,2026-05-02 08:57:00,,Open
301,1000639,74,2025-05-29 16:06:00,2025-05-30 16:06:00,Completed
302,1000642,31,2025-12-25 15:27:00,2025-12-25 15:27:00,Completed
303,1000648,115,2025-04-08 16:13:00,,Open
304,1000650,159,2025-12-16 14:18:00,2025-12-17 14:18:00,Completed
305,1000652,75,2025-10-13 08:58:00,2025-10-15 08:58:00,Completed
306,1000653,43,2025-04-19 13:24:00,2025-04-18 13:24:00,Completed
307,1000656,24,2025-06-03 11:19:00,2025-06-04 11:19:00,Completed
308,1000658,169,2026-01-10 08:07:00,2026-01-13 08:07:00,Completed
309,1000659,87,2026-06-03 10:05:00,2026-06-04 10:05:00,Completed
310,1000661,193,2025-05-18 12:07:00,,Overdue
311,1000664,75,2025-05-14 13:10:00,2025-05-15 13:10:00,Completed
312,1000666,38,2025-12-02 12:32:00,2025-12-02 12:32:00,Completed
313,1000669,210,2025-06-23 14:53:00,2025-06-27 14:53:00,Completed
314,1000670,226,2025-07-07 13:54:00,2025-07-07 13:54:00,Completed
315,1000672,1,2026-02-24 16:17:00,2026-02-27 16:17:00,Completed
316,1000674,214,2026-03-24 09:26:00,,Open
317,1000675,129,2026-06-29 13:43:00,2026-07-02 13:43:00,Completed
318,1000676,173,2024-12-12 08:23:00,2024-12-14 08:23:00,Completed
319,1000677,268,2025-06-24 08:30:00,2025-06-27 08:30:00,Completed
320,1000679,177,2025-10-29 13:39:00,2025-11-02 13:39:00,Completed
321,1000683,182,2025-02-06 14:42:00,2025-02-08 14:42:00,Completed
322,1000684,59,2025-02-09 13:22:00,2025-02-13 13:22:00,Completed
323,1000687,163,2025-05-18 08:00:00,2025-05-17 08:00:00,Completed
324,1000688,173,2025-07-02 08:25:00,,Open
325,1000689,245,2026-04-15 11:56:00,2026-04-16 11:56:00,Completed
326,1000690,107,2026-04-20 12:57:00,2026-04-22 12:57:00,Completed
327,1000691,208,2025-10-08 12:31:00,,Overdue
328,1000692,64,2026-02-03 15:44:00,,Overdue
329,1000693,216,2026-03-18 15:04:00,2026-03-17 15:04:00,Completed
330,1000694,22,2025-12-23 11:09:00,,Open
331,1000695,175,2025-12-17 09:15:00,2025-12-19 09:15:00,Completed
332,1000697,184,2026-07-04 12:28:00,,Open
333,1000701,18,2025-05-16 12:16:00,2025-05-17 12:16:00,Completed
334,1000702,142,2025-01-07 11:57:00,2025-01-11 11:57:00,Completed
335,1000705,65,2025-11-19 15:56:00,2025-11-18 15:56:00,Completed
336,1000711,35,2026-01-19 11:33:00,2026-01-21 11:33:00,Completed
337,1000713,99,2025-03-05 08:27:00,,Open
338,1000715,32,2025-05-27 15:46:00,,Open
339,1000716,64,2026-01-02 08:56:00,2026-01-02 08:56:00,Completed
340,1000717,21,2025-10-09 14:23:00,2025-10-09 14:23:00,Completed
341,1000719,167,2025-06-10 10:39:00,2025-06-09 10:39:00,Completed
342,1000723,182,2025-01-13 11:22:00,2025-01-13 11:22:00,Completed
343,1000729,178,2025-05-29 09:09:00,2025-06-02 09:09:00,Completed
344,1000730,77,2026-04-24 12:15:00,2026-04-23 12:15:00,Completed
345,1000731,54,2025-12-31 09:10:00,2025-12-31 09:10:00,Completed
346,1000732,94,2025-08-12 16:13:00,,Open
347,1000734,139,2025-09-14 12:42:00,,Overdue
348,1000735,124,2025-03-07 10:24:00,2025-03-11 10:24:00,Completed
349,1000736,88,2026-03-13 14:15:00,2026-03-13 14:15:00,Completed
350,1000737,153,2026-06-23 11:57:00,2026-06-24 11:57:00,Completed
351,1000741,71,2026-05-09 10:09:00,,Open
352,1000744,63,2025-01-31 14:21:00,,Open
353,1000748,164,2025-03-13 12:58:00,2025-03-17 12:58:00,Completed
354,1000750,115,2026-03-17 10:44:00,,Overdue
355,1000751,22,2024-09-14 09:00:00,,Open
356,1000752,20,2026-05-22 09:24:00,2026-05-22 09:24:00,Completed
357,1000753,120,2025-06-25 10:35:00,2025-06-25 10:35:00,Completed
358,1000754,57,2025-06-18 08:15:00,,Overdue
359,1000755,126,2026-01-13 15:22:00,2026-01-15 15:22:00,Completed
360,1000758,21,2025-12-19 09:26:00,2025-12-21 09:26:00,Completed
361,1000759,272,2025-04-07 15:35:00,2025-04-07 15:35:00,Completed
362,1000762,70,2025-05-26 10:18:00,2025-05-29 10:18:00,Completed
363,1000763,270,2024-11-09 09:07:00,2024-11-10 09:07:00,Completed
364,1000764,10,2026-04-12 10:02:00,2026-04-16 10:02:00,Completed
365,1000765,56,2024-10-05 10:39:00,2024-10-05 10:39:00,Completed
366,1000767,121,2025-05-25 13:13:00,2025-05-28 13:13:00,Completed
367,1000768,177,2025-02-23 16:28:00,2025-02-26 16:28:00,Completed
368,1000773,31,2025-05-26 13:13:00,,Open
369,1000776,248,2024-09-10 09:11:00,,Open
370,1000778,23,2025-01-03 08:17:00,2025-01-03 08:17:00,Completed
371,1000780,150,2025-03-10 12:59:00,,Open
372,1000781,76,2026-04-12 15:40:00,2026-04-14 15:40:00,Completed
373,1000788,77,2026-06-20 12:24:00,,Overdue
374,1000798,166,2025-04-29 12:32:00,,Overdue
375,1000799,11,2025-10-09 16:18:00,2025-10-12 16:18:00,Completed
376,1000800,213,2025-09-30 10:58:00,2025-09-29 10:58:00,Completed
377,1000806,42,2024-09-18 14:07:00,,Open
378,1000807,56,2025-04-29 09:56:00,2025-04-28 09:56:00,Completed
379,1000808,13,2025-07-14 13:52:00,,Overdue
380,1000810,249,2024-10-29 09:56:00,,Open
381,1000815,154,2026-04-09 09:35:00,2026-04-09 09:35:00,Completed
382,1000816,123,2025-08-21 14:03:00,2025-08-25 14:03:00,Completed
383,1000818,98,2026-07-13 13:15:00,,Open
384,1000820,141,2025-07-27 11:02:00,2025-07-29 11:02:00,Completed
385,1000823,40,2025-11-13 15:28:00,,Open
386,1000824,160,2025-11-12 08:22:00,2025-11-13 08:22:00,Completed
387,1000825,68,2025-01-19 13:57:00,2025-01-18 13:57:00,Completed
388,1000826,25,2025-05-19 14:12:00,2025-05-19 14:12:00,Completed
389,1000830,98,2025-12-07 13:04:00,,Open
390,1000831,167,2025-12-29 11:11:00,2025-12-31 11:11:00,Completed
391,1000832,116,2026-03-08 09:34:00,,Open
392,1000833,151,2025-06-08 14:52:00,,Open
393,1000834,220,2026-05-26 09:11:00,2026-05-25 09:11:00,Completed
394,1000835,34,2025-07-06 11:48:00,2025-07-09 11:48:00,Completed
395,1000838,178,2024-09-25 14:44:00,2024-09-27 14:44:00,Completed
396,1000841,272,2025-11-26 11:34:00,2025-11-30 11:34:00,Completed
397,1000847,181,2025-05-24 14:35:00,2025-05-27 14:35:00,Completed
398,1000848,22,2025-03-29 09:03:00,,Overdue
399,1000850,167,2025-12-31 11:37:00,2026-01-01 11:37:00,Completed
400,1000852,73,2025-08-09 14:33:00,2025-08-13 14:33:00,Completed
401,1000854,122,2025-10-30 12:56:00,2025-10-30 12:56:00,Completed
402,1000859,15,2025-03-24 16:46:00,,Overdue
403,1000860,58,2024-11-10 12:15:00,2024-11-12 12:15:00,Completed
404,1000861,249,2026-06-01 13:06:00,,Overdue
405,1000865,17,2026-02-26 08:24:00,2026-03-01 08:24:00,Completed
406,1000867,107,2025-12-18 12:58:00,,Open
407,1000868,123,2026-01-05 13:25:00,2026-01-09 13:25:00,Completed
408,1000869,61,2025-10-14 11:40:00,2025-10-16 11:40:00,Completed
409,1000870,63,2025-02-22 10:57:00,2025-02-21 10:57:00,Completed
