note_id,request_id,author_user_id,note_type,visibility_level,note_text,created_at
19,1000015,97,Follow-up,Internal,Operational note for case 1000015 capturing workflow action and next step.,2025-09-07 08:27:00
20,1000016,62,Coordination,Internal,Operational note for case 1000016 capturing workflow action and next step.,2024-11-23 15:30:00
21,1000017,35,Intake,School Team,Operational note for case 1000017 capturing workflow action and next step.,2025-06-23 13:15:00
22,1000018,71,Follow-up,Restricted,Operational note for case 1000018 capturing workflow action and next step.,2025-01-31 13:23:00
23,1000020,164,Coordination,Internal,Operational note for case 1000020 capturing workflow action and next step.,2025-03-01 10:54:00
24,1000022,245,Resolution,Internal,Operational note for case 1000022 capturing workflow action and next step.,2026-04-26 16:40:00
25,1000023,147,Follow-up,School Team,Operational note for case 1000023 capturing workflow action and next step.,2025-05-03 14:09:00
26,1000023,147,Intake,School Team,Operational note for case 1000023 capturing workflow action and next step.,2025-04-28 14:09:00
27,1000024,216,Follow-up,Internal,Operational note for case 1000024 capturing workflow action and next step.,2025-10-23 10:28:00
28,1000026,163,Intake,Restricted,Operational note for case 1000026 capturing workflow action and next step.,2025-04-21 14:19:00
29,1000026,163,Follow-up,Internal,Operational note for case 1000026 capturing workflow action and next step.,2025-04-09 14:19:00
30,1000028,134,Intake,Restricted,Operational note for case 1000028 capturing workflow action and next step.,2025-11-09 15:17:00
31,1000028,134,Intake,Restricted,Operational note for case 1000028 capturing workflow action and next step.,2025-11-07 15:17:00
32,1000029,117,Resolution,Restricted,Operational note for case 1000029 capturing workflow action and next step.,2025-10-01 11:34:00
33,1000029,117,Follow-up,Internal,Operational note for case 1000029 capturing workflow action and next step.,2025-10-01 11:34:00
34,1000031,34,Follow-up,Restricted,Operational note for case 1000031 capturing workflow action and next step.,2025-02-13 08:23:00
35,1000032,212,Intake,School Team,Operational note for case 1000032 capturing workflow action and next step.,2025-10-20 08:52:00
36,1000032,212,Follow-up,School Team,Operational note for case 1000032 capturing workflow action and next step.,2025-11-02 08:52:00
37,1000035,16,Resolution,Internal,Operational note for case 1000035 capturing workflow action and next step.,2025-09-02 11:55:00
38,1000038,38,Follow-up,School Team,Operational note for case 1000038 capturing workflow action and next step.,2026-04-28 10:27:00
39,1000039,272,Coordination,Internal,Operational note for case 1000039 capturing workflow action and next step.,2026-02-19 16:23:00
40,1000040,219,Coordination,Restricted,Operational note for case 1000040 capturing workflow action and next step.,2024-09-20 08:46:00
41,1000041,117,Resolution,Internal,Operational note for case 1000041 capturing workflow action and next step.,2025-02-19 08:26:00
42,1000041,117,Resolution,Restricted,Operational note for case 1000041 capturing workflow action and next step.,2025-02-25 08:26:00
43,1000043,245,Resolution,School Team,Operational note for case 1000043 capturing workflow action and next step.,2024-09-07 09:47:00
44,1000044,57,Follow-up,Restricted,Operational note for case 1000044 capturing workflow action and next step.,2024-09-01 12:55:00
45,1000046,219,Coordination,Internal,Operational note for case 1000046 capturing workflow action and next step.,2025-04-03 11:40:00
46,1000047,35,Intake,School Team,Operational note for case 1000047 capturing workflow action and next step.,2025-07-06 13:31:00
47,1000048,170,Follow-up,Restricted,Operational note for case 1000048 capturing workflow action and next step.,2026-01-29 12:22:00
48,1000048,170,Follow-up,Internal,Operational note for case 1000048 capturing workflow action and next step.,2026-01-26 12:22:00
49,1000050,77,Resolution,School Team,Operational note for case 1000050 capturing workflow action and next step.,2025-08-06 16:06:00
50,1000050,77,Coordination,Internal,Operational note for case 1000050 capturing workflow action and next step.,2025-08-01 16:06:00
51,1000052,37,Resolution,School Team,Operational note for case 1000052 capturing workflow action and next step.,2024-11-10 11:25:00
52,1000053,143,Intake,Internal,Operational note for case 1000053 capturing workflow action and next step.,2025-10-29 10:00:00
53,1000054,30,Resolution,Restricted,Operational note for case 1000054 capturing workflow action and next step.,2025-11-01 12:46:00
54,1000055,141,Follow-up,School Team,Operational note for case 1000055 capturing workflow action and next step.,2026-03-22 10:37:00
55,1000056,178,Intake,Internal,Operational note for case 1000056 capturing workflow action and next step.,2025-07-17 15:22:00
56,1000056,178,Coordination,Restricted,Operational note for case 1000056 capturing workflow action and next step.,2025-07-14 15:22:00
57,1000057,30,Follow-up,Restricted,Operational note for case 1000057 capturing workflow action and next step.,2025-02-26 14:01:00
58,1000058,76,Follow-up,Restricted,Operational note for case 1000058 capturing workflow action and next step.,2026-07-03 08:52:00
59,1000059,126,Follow-up,School Team,Operational note for case 1000059 capturing workflow action and next step.,2025-02-05 16:24:00
60,1000061,186,Coordination,School Team,Operational note for case 1000061 capturing workflow action and next step.,2024-10-07 15:10:00
61,1000062,87,Coordination,School Team,Operational note for case 1000062 capturing workflow action and next step.,2025-06-27 16:13:00
62,1000063,122,Coordination,Restricted,Operational note for case 1000063 capturing workflow action and next step.,2025-12-03 16:01:00
63,1000064,31,Intake,School Team,Operational note for case 1000064 capturing workflow action and next step.,2025-09-20 10:14:00
64,1000064,31,Follow-up,School Team,Operational note for case 1000064 capturing workflow action and next step.,2025-09-21 10:14:00
65,1000065,193,Intake,Internal,Operational note for case 1000065 capturing workflow action and next step.,2025-05-25 14:30:00
66,1000066,174,Resolution,Internal,Operational note for case 1000066 capturing workflow action and next step.,2024-10-29 08:24:00
67,1000068,88,Intake,Internal,Operational note for case 1000068 capturing workflow action and next step.,2025-08-01 10:57:00
68,1000068,88,Intake,Restricted,Operational note for case 1000068 capturing workflow action and next step.,2025-07-27 10:57:00
69,1000069,137,Coordination,Restricted,Operational note for case 1000069 capturing workflow action and next step.,2026-05-28 10:55:00
70,1000070,144,Resolution,Restricted,Operational note for case 1000070 capturing workflow action and next step.,2026-03-17 14:15:00
71,1000071,30,Follow-up,School Team,Operational note for case 1000071 capturing workflow action and next step.,2025-12-24 16:52:00
72,1000074,156,Coordination,Internal,Operational note for case 1000074 capturing workflow action and next step.,2026-03-24 10:42:00
73,1000075,165,Follow-up,School Team,Operational note for case 1000075 capturing workflow action and next step.,2024-11-10 10:09:00
74,1000076,57,Intake,Restricted,Operational note for case 1000076 capturing workflow action and next step.,2024-09-06 14:29:00
75,1000076,57,Resolution,Restricted,Operational note for case 1000076 capturing workflow action and next step.,2024-09-18 14:29:00
76,1000077,16,Coordination,Internal,Operational note for case 1000077 capturing workflow action and next step.,2026-01-16 12:41:00
77,1000080,37,Coordination,Restricted,Operational note for case 1000080 capturing workflow action and next step.,2024-08-20 08:39:00
78,1000081,96,Resolution,Restricted,Operational note for case 1000081 capturing workflow action and next step.,2026-01-08 12:27:00
79,1000082,80,Follow-up,School Team,Operational note for case 1000082 capturing workflow action and next step.,2025-08-17 10:33:00
80,1000083,101,Coordination,Internal,Operational note for case 1000083 capturing workflow action and next step.,2025-01-17 09:29:00
81,1000083,101,Coordination,Restricted,Operational note for case 1000083 capturing workflow action and next step.,2025-01-27 09:29:00
82,1000084,66,Intake,School Team,Operational note for case 1000084 capturing workflow action and next step.,2025-05-10 12:41:00
83,1000085,129,Follow-up,School Team,Operational note for case 1000085 capturing workflow action and next step.,2024-09-30 08:21:00
84,1000087,71,Coordination,Restricted,Operational note for case 1000087 capturing workflow action and next step.,2024-12-08 11:43:00
85,1000089,104,Follow-up,Internal,Operational note for case 1000089 capturing workflow action and next step.,2025-05-04 13:08:00
86,1000090,107,Follow-up,School Team,Operational note for case 1000090 capturing workflow action and next step.,2026-02-08 08:22:00
87,1000092,220,Coordination,Internal,Operational note for case 1000092 capturing workflow action and next step.,2025-05-18 11:30:00
88,1000092,220,Resolution,Restricted,Operational note for case 1000092 capturing workflow action and next step.,2025-05-25 11:30:00
89,1000093,23,Follow-up,Internal,Operational note for case 1000093 capturing workflow action and next step.,2026-03-31 11:09:00
90,1000094,218,Follow-up,Restricted,Operational note for case 1000094 capturing workflow action and next step.,2025-04-17 09:55:00
91,1000095,163,Coordination,Internal,Operational note for case 1000095 capturing workflow action and next step.,2025-04-15 08:34:00
92,1000095,163,Intake,School Team,Operational note for case 1000095 capturing workflow action and next step.,2025-04-24 08:34:00
93,1000096,82,Intake,School Team,Operational note for case 1000096 capturing workflow action and next step.,2026-06-11 12:52:00
94,1000100,193,Coordination,School Team,Operational note for case 1000100 capturing workflow action and next step.,2026-02-14 10:24:00
95,1000102,173,Intake,Internal,Operational note for case 1000102 capturing workflow action and next step.,2025-10-08 12:04:00
96,1000103,7,Intake,Restricted,Operational note for case 1000103 capturing workflow action and next step.,2026-01-05 13:04:00
97,1000103,7,Follow-up,Internal,Operational note for case 1000103 capturing workflow action and next step.,2026-01-04 13:04:00
98,1000105,162,Coordination,School Team,Operational note for case 1000105 capturing workflow action and next step.,2024-10-07 09:37:00
99,1000105,162,Intake,School Team,Operational note for case 1000105 capturing workflow action and next step.,2024-10-07 09:37:00
100,1000106,161,Coordination,Restricted,Operational note for case 1000106 capturing workflow action and next step.,2026-06-02 15:08:00
101,1000107,270,Coordination,School Team,Operational note for case 1000107 capturing workflow action and next step.,2024-11-29 09:22:00
102,1000107,270,Follow-up,Restricted,Operational note for case 1000107 capturing workflow action and next step.,2024-11-20 09:22:00
103,1000108,17,Follow-up,Internal,Operational note for case 1000108 capturing workflow action and next step.,2026-04-11 09:00:00
104,1000108,17,Follow-up,School Team,Operational note for case 1000108 capturing workflow action and next step.,2026-04-13 09:00:00
105,1000109,68,Follow-up,Internal,Operational note for case 1000109 capturing workflow action and next step.,2026-02-24 15:33:00
106,1000110,8,Follow-up,Restricted,Operational note for case 1000110 capturing workflow action and next step.,2025-12-26 12:19:00
107,1000111,16,Coordination,Restricted,Operational note for case 1000111 capturing workflow action and next step.,2025-03-15 14:13:00
108,1000112,18,Resolution,Restricted,Operational note for case 1000112 capturing workflow action and next step.,2025-01-01 10:38:00
109,1000113,59,Resolution,Restricted,Operational note for case 1000113 capturing workflow action and next step.,2025-02-08 09:13:00
110,1000114,2,Coordination,School Team,Operational note for case 1000114 capturing workflow action and next step.,2024-12-24 12:15:00
111,1000115,8,Resolution,Internal,Operational note for case 1000115 capturing workflow action and next step.,2026-01-19 13:49:00
112,1000117,237,Resolution,School Team,Operational note for case 1000117 capturing workflow action and next step.,2026-02-07 12:10:00
113,1000118,149,Resolution,School Team,Operational note for case 1000118 capturing workflow action and next step.,2025-01-08 15:17:00
114,1000119,76,Resolution,Restricted,Operational note for case 1000119 capturing workflow action and next step.,2024-10-19 08:46:00
115,1000120,122,Follow-up,Restricted,Operational note for case 1000120 capturing workflow action and next step.,2025-10-19 08:27:00
116,1000120,122,Coordination,School Team,Operational note for case 1000120 capturing workflow action and next step.,2025-10-15 08:27:00
117,1000123,65,Coordination,Internal,Operational note for case 1000123 capturing workflow action and next step.,2026-02-12 14:43:00
118,1000124,118,Coordination,Internal,Operational note for case 1000124 capturing workflow action and next step.,2024-10-10 11:49:00
119,1000125,249,Coordination,School Team,Operational note for case 1000125 capturing workflow action and next step.,2025-05-29 11:05:00
120,1000127,186,Resolution,School Team,Operational note for case 1000127 capturing workflow action and next step.,2024-10-01 11:14:00
121,1000128,75,Coordination,Internal,Operational note for case 1000128 capturing workflow action and next step.,2024-09-26 16:32:00
122,1000129,32,Intake,Restricted,Operational note for case 1000129 capturing workflow action and next step.,2025-09-27 11:06:00
123,1000130,101,Follow-up,Internal,Operational note for case 1000130 capturing workflow action and next step.,2026-04-26 12:29:00
124,1000131,193,Coordination,Restricted,Operational note for case 1000131 capturing workflow action and next step.,2025-11-18 10:02:00
125,1000131,193,Follow-up,Internal,Operational note for case 1000131 capturing workflow action and next step.,2025-11-21 10:02:00
126,1000132,15,Intake,Internal,Operational note for case 1000132 capturing workflow action and next step.,2025-08-28 08:00:00
127,1000132,15,Resolution,Restricted,Operational note for case 1000132 capturing workflow action and next step.,2025-08-24 08:00:00
128,1000134,221,Resolution,Internal,Operational note for case 1000134 capturing workflow action and next step.,2025-07-10 16:36:00
129,1000136,170,Follow-up,Internal,Operational note for case 1000136 capturing workflow action and next step.,2026-01-04 12:10:00
130,1000139,226,Resolution,School Team,Operational note for case 1000139 capturing workflow action and next step.,2025-05-18 16:57:00
131,1000139,226,Intake,Internal,Operational note for case 1000139 capturing workflow action and next step.,2025-05-21 16:57:00
132,1000140,210,Intake,Internal,Operational note for case 1000140 capturing workflow action and next step.,2025-03-17 11:26:00
133,1000140,210,Resolution,Restricted,Operational note for case 1000140 capturing workflow action and next step.,2025-03-14 11:26:00
134,1000141,4,Coordination,Restricted,Operational note for case 1000141 capturing workflow action and next step.,2025-06-13 12:17:00
135,1000141,4,Follow-up,Restricted,Operational note for case 1000141 capturing workflow action and next step.,2025-06-12 12:17:00
136,1000142,158,Intake,Internal,Operational note for case 1000142 capturing workflow action and next step.,2025-10-09 10:03:00
137,1000144,85,Resolution,Internal,Operational note for case 1000144 capturing workflow action and next step.,2024-09-10 15:01:00
138,1000144,85,Intake,School Team,Operational note for case 1000144 capturing workflow action and next step.,2024-09-05 15:01:00
139,1000145,69,Coordination,School Team,Operational note for case 1000145 capturing workflow action and next step.,2025-11-08 14:04:00
140,1000146,82,Follow-up,Internal,Operational note for case 1000146 capturing workflow action and next step.,2025-11-20 14:20:00
141,1000147,84,Intake,Restricted,Operational note for case 1000147 capturing workflow action and next step.,2024-12-04 12:08:00
142,1000148,93,Coordination,Internal,Operational note for case 1000148 capturing workflow action and next step.,2024-09-28 13:44:00
143,1000149,18,Coordination,Restricted,Operational note for case 1000149 capturing workflow action and next step.,2025-10-12 16:14:00
144,1000149,18,Intake,School Team,Operational note for case 1000149 capturing workflow action and next step.,2025-10-09 16:14:00
145,1000150,237,Resolution,School Team,Operational note for case 1000150 capturing workflow action and next step.,2025-05-14 12:06:00
146,1000150,237,Resolution,Restricted,Operational note for case 1000150 capturing workflow action and next step.,2025-05-10 12:06:00
147,1000151,227,Follow-up,Restricted,Operational note for case 1000151 capturing workflow action and next step.,2025-11-03 13:09:00
148,1000153,28,Coordination,Restricted,Operational note for case 1000153 capturing workflow action and next step.,2025-07-01 11:25:00
149,1000154,132,Resolution,Internal,Operational note for case 1000154 capturing workflow action and next step.,2025-06-02 10:42:00
150,1000155,208,Resolution,School Team,Operational note for case 1000155 capturing workflow action and next step.,2024-10-07 15:30:00
151,1000156,61,Intake,Restricted,Operational note for case 1000156 capturing workflow action and next step.,2025-07-10 09:11:00
152,1000156,61,Resolution,Internal,Operational note for case 1000156 capturing workflow action and next step.,2025-07-17 09:11:00
153,1000157,158,Follow-up,School Team,Operational note for case 1000157 capturing workflow action and next step.,2026-01-21 16:11:00
154,1000157,158,Coordination,Internal,Operational note for case 1000157 capturing workflow action and next step.,2026-01-21 16:11:00
155,1000158,108,Resolution,Internal,Operational note for case 1000158 capturing workflow action and next step.,2025-09-06 10:30:00
156,1000159,156,Resolution,Restricted,Operational note for case 1000159 capturing workflow action and next step.,2026-05-06 16:54:00
157,1000160,40,Intake,School Team,Operational note for case 1000160 capturing workflow action and next step.,2025-05-22 12:01:00
158,1000161,84,Resolution,School Team,Operational note for case 1000161 capturing workflow action and next step.,2024-09-22 09:07:00
159,1000162,16,Coordination,Restricted,Operational note for case 1000162 capturing workflow action and next step.,2024-09-21 14:39:00
160,1000163,64,Coordination,School Team,Operational note for case 1000163 capturing workflow action and next step.,2026-02-23 12:00:00
161,1000165,98,Intake,School Team,Operational note for case 1000165 capturing workflow action and next step.,2025-09-04 15:22:00
162,1000166,85,Follow-up,School Team,Operational note for case 1000166 capturing workflow action and next step.,2026-06-10 14:54:00
163,1000167,143,Follow-up,Restricted,Operational note for case 1000167 capturing workflow action and next step.,2025-04-18 12:35:00
164,1000168,265,Intake,Internal,Operational note for case 1000168 capturing workflow action and next step.,2025-11-17 16:06:00
165,1000168,265,Intake,School Team,Operational note for case 1000168 capturing workflow action and next step.,2025-11-24 16:06:00
166,1000169,74,Follow-up,School Team,Operational note for case 1000169 capturing workflow action and next step.,2026-04-14 14:47:00
167,1000170,182,Follow-up,School Team,Operational note for case 1000170 capturing workflow action and next step.,2026-01-11 09:35:00
168,1000171,151,Follow-up,School Team,Operational note for case 1000171 capturing workflow action and next step.,2024-12-25 12:59:00
169,1000173,57,Coordination,Internal,Operational note for case 1000173 capturing workflow action and next step.,2026-05-08 13:31:00
170,1000175,163,Resolution,Restricted,Operational note for case 1000175 capturing workflow action and next step.,2025-01-11 15:47:00
171,1000176,14,Follow-up,Restricted,Operational note for case 1000176 capturing workflow action and next step.,2025-09-14 14:12:00
172,1000177,8,Intake,Internal,Operational note for case 1000177 capturing workflow action and next step.,2026-05-20 16:09:00
173,1000178,271,Coordination,Restricted,Operational note for case 1000178 capturing workflow action and next step.,2025-04-15 12:32:00
174,1000179,245,Follow-up,School Team,Operational note for case 1000179 capturing workflow action and next step.,2025-04-22 15:43:00
175,1000180,148,Coordination,Restricted,Operational note for case 1000180 capturing workflow action and next step.,2025-01-20 14:39:00
176,1000181,151,Intake,Internal,Operational note for case 1000181 capturing workflow action and next step.,2025-06-10 15:44:00
177,1000182,156,Follow-up,Restricted,Operational note for case 1000182 capturing workflow action and next step.,2025-09-05 09:23:00
178,1000183,107,Coordination,School Team,Operational note for case 1000183 capturing workflow action and next step.,2025-08-31 11:38:00
179,1000184,103,Follow-up,School Team,Operational note for case 1000184 capturing workflow action and next step.,2025-03-11 15:46:00
180,1000184,103,Coordination,Internal,Operational note for case 1000184 capturing workflow action and next step.,2025-03-08 15:46:00
181,1000185,2,Resolution,Restricted,Operational note for case 1000185 capturing workflow action and next step.,2024-10-15 14:44:00
182,1000186,137,Follow-up,Restricted,Operational note for case 1000186 capturing workflow action and next step.,2026-06-02 13:00:00
183,1000187,44,Follow-up,School Team,Operational note for case 1000187 capturing workflow action and next step.,2026-05-10 11:53:00
184,1000188,103,Intake,School Team,Operational note for case 1000188 capturing workflow action and next step.,2025-04-22 14:39:00
185,1000190,128,Follow-up,Restricted,Operational note for case 1000190 capturing workflow action and next step.,2025-09-09 11:11:00
186,1000191,96,Intake,Restricted,Operational note for case 1000191 capturing workflow action and next step.,2025-10-16 13:32:00
187,1000191,96,Coordination,Restricted,Operational note for case 1000191 capturing workflow action and next step.,2025-10-09 13:32:00
188,1000193,92,Follow-up,Restricted,Operational note for case 1000193 capturing workflow action and next step.,2025-12-29 16:44:00
189,1000193,92,Intake,Restricted,Operational note for case 1000193 capturing workflow action and next step.,2026-01-01 16:44:00
190,1000194,44,Resolution,Internal,Operational note for case 1000194 capturing workflow action and next step.,2024-11-10 12:20:00
191,1000195,182,Coordination,Internal,Operational note for case 1000195 capturing workflow action and next step.,2025-04-05 13:22:00
192,1000196,219,Follow-up,School Team,Operational note for case 1000196 capturing workflow action and next step.,2024-12-30 15:25:00
193,1000196,219,Follow-up,Restricted,Operational note for case 1000196 capturing workflow action and next step.,2025-01-10 15:25:00
194,1000197,84,Resolution,School Team,Operational note for case 1000197 capturing workflow action and next step.,2025-12-02 10:30:00
195,1000198,252,Intake,Restricted,Operational note for case 1000198 capturing workflow action and next step.,2024-12-03 10:13:00
196,1000199,89,Resolution,Restricted,Operational note for case 1000199 capturing workflow action and next step.,2026-01-01 14:53:00
197,1000201,15,Coordination,Restricted,Operational note for case 1000201 capturing workflow action and next step.,2024-10-27 12:15:00
198,1000201,15,Coordination,School Team,Operational note for case 1000201 capturing workflow action and next step.,2024-10-19 12:15:00
199,1000202,219,Intake,School Team,Operational note for case 1000202 capturing workflow action and next step.,2026-02-21 16:29:00
200,1000202,219,Intake,School Team,Operational note for case 1000202 capturing workflow action and next step.,2026-02-27 16:29:00
201,1000203,119,Coordination,School Team,Operational note for case 1000203 capturing workflow action and next step.,2025-03-18 16:12:00
202,1000206,239,Follow-up,School Team,Operational note for case 1000206 capturing workflow action and next step.,2026-04-20 16:14:00
203,1000206,239,Intake,Internal,Operational note for case 1000206 capturing workflow action and next step.,2026-04-23 16:14:00
204,1000208,37,Coordination,Restricted,Operational note for case 1000208 capturing workflow action and next step.,2025-06-30 09:19:00
205,1000210,66,Follow-up,School Team,Operational note for case 1000210 capturing workflow action and next step.,2026-05-19 08:41:00
206,1000212,268,Intake,Internal,Operational note for case 1000212 capturing workflow action and next step.,2025-11-13 11:57:00
207,1000213,129,Resolution,Internal,Operational note for case 1000213 capturing workflow action and next step.,2026-06-09 15:19:00
208,1000215,71,Intake,Restricted,Operational note for case 1000215 capturing workflow action and next step.,2025-03-25 10:05:00
209,1000216,95,Resolution,Internal,Operational note for case 1000216 capturing workflow action and next step.,2026-04-22 12:04:00
210,1000218,28,Intake,Restricted,Operational note for case 1000218 capturing workflow action and next step.,2024-10-14 09:48:00
211,1000219,23,Intake,School Team,Operational note for case 1000219 capturing workflow action and next step.,2024-11-23 12:43:00
212,1000219,23,Intake,School Team,Operational note for case 1000219 capturing workflow action and next step.,2024-11-29 12:43:00
213,1000221,53,Intake,Internal,Operational note for case 1000221 capturing workflow action and next step.,2026-04-04 11:09:00
214,1000223,212,Follow-up,School Team,Operational note for case 1000223 capturing workflow action and next step.,2025-01-16 15:15:00
215,1000223,212,Coordination,Internal,Operational note for case 1000223 capturing workflow action and next step.,2025-01-20 15:15:00
216,1000224,138,Coordination,Internal,Operational note for case 1000224 capturing workflow action and next step.,2026-05-23 15:32:00
217,1000225,89,Coordination,School Team,Operational note for case 1000225 capturing workflow action and next step.,2026-04-12 16:14:00
218,1000226,26,Follow-up,Restricted,Operational note for case 1000226 capturing workflow action and next step.,2026-02-03 14:39:00
219,1000226,26,Follow-up,School Team,Operational note for case 1000226 capturing workflow action and next step.,2026-02-05 14:39:00
220,1000227,79,Follow-up,School Team,Operational note for case 1000227 capturing workflow action and next step.,2025-11-10 08:12:00
221,1000228,178,Resolution,School Team,Operational note for case 1000228 capturing workflow action and next step.,2024-10-18 09:17:00
222,1000229,196,Intake,Restricted,Operational note for case 1000229 capturing workflow action and next step.,2026-05-16 08:50:00
223,1000234,40,Follow-up,Restricted,Operational note for case 1000234 capturing workflow action and next step.,2026-05-12 15:00:00
224,1000235,68,Resolution,Restricted,Operational note for case 1000235 capturing workflow action and next step.,2025-11-17 10:37:00
225,1000236,135,Coordination,School Team,Operational note for case 1000236 capturing workflow action and next step.,2025-11-28 12:20:00
226,1000237,130,Follow-up,School Team,Operational note for case 1000237 capturing workflow action and next step.,2026-01-13 11:27:00
227,1000237,130,Intake,Restricted,Operational note for case 1000237 capturing workflow action and next step.,2026-01-22 11:27:00
228,1000238,270,Coordination,Restricted,Operational note for case 1000238 capturing workflow action and next step.,2025-06-08 11:05:00
229,1000241,27,Intake,School Team,Operational note for case 1000241 capturing workflow action and next step.,2025-11-19 14:18:00
230,1000242,171,Coordination,School Team,Operational note for case 1000242 capturing workflow action and next step.,2024-10-21 12:14:00
231,1000245,212,Follow-up,Restricted,Operational note for case 1000245 capturing workflow action and next step.,2024-11-27 10:46:00
232,1000247,145,Intake,Restricted,Operational note for case 1000247 capturing workflow action and next step.,2025-09-23 12:03:00
233,1000248,210,Intake,School Team,Operational note for case 1000248 capturing workflow action and next step.,2026-03-15 11:54:00
234,1000249,159,Resolution,Internal,Operational note for case 1000249 capturing workflow action and next step.,2024-10-24 09:20:00
235,1000251,47,Follow-up,Internal,Operational note for case 1000251 capturing workflow action and next step.,2025-05-24 08:32:00
236,1000252,72,Follow-up,Internal,Operational note for case 1000252 capturing workflow action and next step.,2025-11-13 16:49:00
237,1000253,168,Coordination,Restricted,Operational note for case 1000253 capturing workflow action and next step.,2025-07-07 16:47:00
238,1000253,168,Follow-up,Restricted,Operational note for case 1000253 capturing workflow action and next step.,2025-07-12 16:47:00
239,1000254,208,Intake,Internal,Operational note for case 1000254 capturing workflow action and next step.,2025-02-09 16:35:00
240,1000255,239,Intake,School Team,Operational note for case 1000255 capturing workflow action and next step.,2025-06-03 09:53:00
241,1000257,101,Coordination,School Team,Operational note for case 1000257 capturing workflow action and next step.,2025-05-03 13:37:00
242,1000258,90,Follow-up,Internal,Operational note for case 1000258 capturing workflow action and next step.,2025-09-20 16:49:00
243,1000258,90,Intake,Restricted,Operational note for case 1000258 capturing workflow action and next step.,2025-09-15 16:49:00
244,1000259,31,Follow-up,School Team,Operational note for case 1000259 capturing workflow action and next step.,2025-11-06 09:38:00
245,1000260,265,Resolution,Internal,Operational note for case 1000260 capturing workflow action and next step.,2024-12-22 12:52:00
246,1000260,265,Follow-up,Restricted,Operational note for case 1000260 capturing workflow action and next step.,2024-12-09 12:52:00
247,1000263,160,Resolution,School Team,Operational note for case 1000263 capturing workflow action and next step.,2024-09-25 16:22:00
248,1000264,176,Coordination,Internal,Operational note for case 1000264 capturing workflow action and next step.,2025-02-26 13:11:00
249,1000265,252,Coordination,Internal,Operational note for case 1000265 capturing workflow action and next step.,2025-09-21 11:42:00
250,1000266,124,Intake,School Team,Operational note for case 1000266 capturing workflow action and next step.,2025-02-10 16:56:00
251,1000266,124,Resolution,Internal,Operational note for case 1000266 capturing workflow action and next step.,2025-02-17 16:56:00
252,1000268,28,Coordination,School Team,Operational note for case 1000268 capturing workflow action and next step.,2024-09-11 14:29:00
253,1000270,79,Intake,School Team,Operational note for case 1000270 capturing workflow action and next step.,2026-05-29 11:44:00
254,1000271,56,Resolution,Restricted,Operational note for case 1000271 capturing workflow action and next step.,2025-12-11 14:02:00
255,1000271,56,Follow-up,Restricted,Operational note for case 1000271 capturing workflow action and next step.,2025-12-12 14:02:00
256,1000272,162,Resolution,School Team,Operational note for case 1000272 capturing workflow action and next step.,2025-12-25 13:04:00
257,1000273,213,Intake,Internal,Operational note for case 1000273 capturing workflow action and next step.,2024-09-07 15:19:00
258,1000274,112,Resolution,School Team,Operational note for case 1000274 capturing workflow action and next step.,2025-01-08 15:04:00
259,1000275,17,Follow-up,Internal,Operational note for case 1000275 capturing workflow action and next step.,2025-09-09 09:21:00
260,1000277,4,Resolution,School Team,Operational note for case 1000277 capturing workflow action and next step.,2025-05-02 16:06:00
261,1000278,56,Coordination,School Team,Operational note for case 1000278 capturing workflow action and next step.,2025-09-14 16:40:00
